batch,day,idturk,participantid,treatment,initialendowment,pointssaving1,pointssaving2,pointssaving3,pointssaving4,pointsdebt1,pointsdebt2,borrowdebt1,borrowdebt2,pointsthisdecision,pointsnextdecision,additionalpointssaving1,additionalpointssaving2,additionalpointssaving3,additionalpointssaving4,additionalpointsdebt1,additionalpointsdebt2,points_ia_a1,points_ia_a2,points_ia_a3,points_ia_a4,points_aa_a1,points_aa_a2,points_aa_a3,points_aa_a4,balance_ia_a1,balance_ia_a2,balance_ia_a3,balance_ia_a4,balance_aa_a1,balance_aa_a2,balance_aa_a3,balance_aa_a4,orderlottery,lottery1choice,lottery2choice,lottery3choice,lottery4choice,time1choice,time2choice,oneshotcontrol_s1,oneshotcontrol_s2,oneshotcontrol_s3,oneshotcontrol_s4,oneshotdebt_s1,oneshotdebt_s2,oneshotdebt_d1,oneshotdebt_d2,oneshothigh_s1,oneshothigh_s2,oneshothigh_d1,oneshothigh_d2,end_reasoning,end_debtimportance,end_balancesimportance,end_rateimportance,end_hindsight,demo_age,demo_sex,demo_state,demo_race,demo_educ,demo_collegeplus,demo_studentloan,demo_holddebt,demo_covid,errorbdm1,errorbdm2,errorbdm3,errordebtintro1,errordebtintro2,errordebtintro3,errordebtintro4,errordebtintro5,errordebtendowment1,errordebtendowment2,errordebtendowment3,errordebtendowment4,errordebtendowment5,errordebtendowment6,errordebtendowment7,errordebtendowment8,errordebtpayment1,errordebtpayment2,errordebtpayment3,errorend1,errorend2,error_count,error_initial,error_main,error_end,error_main_total,error_count_total,debt1bal,debt2bal,debt1percpaid,debt2percpaid,controlsaving1balanceupdated,controlsaving2balanceupdated,controlsaving3balanceupdated,controlsaving4balanceupdated,debtsaving1balanceupdated,debtsaving2balanceupdated,debtdebt1balanceupdated,debtdebt2balanceupdated,controlsaving1balanceupdated2,controlsaving2balanceupdated2,controlsaving3balanceupdated2,controlsaving4balanceupdated2,debtsaving1balanceupdated2,debtsaving2balanceupdated2,debtdebt1balanceupdated2,debtdebt2balanceupdated2,lotterychoice,timechoice,durationinseconds,controltreatment,debttreatment,hightreatment,q1697,order_oneshotcontrol,order_oneshotdebt,order_oneshothighdebt,io,perco_orig,perco_adtl,perco_os_c,perco_os_d,perco_os_h,ind_optimal_ia,ind_optimal_ap,ind_optimal_ia_all,ind_optimal_ap_all,share_pointssaving1,share_pointssaving2,share_pointssaving3,share_pointssaving4,share_pointsdebt1,share_pointsdebt2,nz_pointssaving1,nz_pointssaving2,nz_pointssaving3,nz_pointssaving4,nz_pointsdebt1,nz_pointsdebt2,type_num_acnt,debt1paidoff,debt2paidoff,perc_points_ia_a1,perc_points_ia_a2,perc_points_ia_a3,perc_points_ia_a4,prev_balance_ia_a1,prev_balance_ia_a2,prev_balance_ia_a3,prev_balance_ia_a4,balance_max,balance_min
1,Initial,A11BSFO4LMHPXQ,wilmington13266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,"One debt had pretty high interest, but after I paid it off it looked smarter to invest in the higher earning column.",Moderately important,Not at all important,Extremely important,Perhaps I should have put it all on the one with 20% interest.,42,Female,Indiana,White,College graduate with Bachelor's Degree (4 year),College or more,No,Yes,A little,0,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0.55,1,958,,,,,,,,,,,,,,0,0,0,0,,,,,,,1,1,1,1,1,1,,1,1,,,,,,,,,,
1,Day 1,A11BSFO4LMHPXQ,wilmington13266,Low Debt,500,0,0,0,0,500,0,0,0,100,500,0,0,0,0,100,0,0,0,500,0,0,0,100,0,1100,700,-400,-1500,1100,700,-300,-1500,2,375,0.75,,,400,1,,,,,,,,,,,,,"One debt had pretty high interest, but after I paid it off it looked smarter to invest in the higher earning column.",Moderately important,Not at all important,Extremely important,Perhaps I should have put it all on the one with 20% interest.,42,Female,Indiana,White,College graduate with Bachelor's Degree (4 year),College or more,No,Yes,A little,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,-300,-1500,0.66666669,0,,,,,1100,700,-400,-1500,,,,,1100,700,-300,-1500,,,2056,0,1,0,No,,,,500,0,0,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1100,700,-900,-1500,1100,-1500
1,Day 2,A11BSFO4LMHPXQ,wilmington13266,Low Debt,1090,690,0,0,0,400,0,0,0,600,0,600,0,0,0,0,0,690,0,400,0,600,0,0,0,1790,700,100,-1500,2390,700,100,-1500,2,300,0.8,,,450,0.8,,,,,,,,,,,,,"One debt had pretty high interest, but after I paid it off it looked smarter to invest in the higher earning column.",Moderately important,Not at all important,Extremely important,Perhaps I should have put it all on the one with 20% interest.,42,Female,Indiana,White,College graduate with Bachelor's Degree (4 year),College or more,No,Yes,A little,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,100,-1500,1.1111112,0,,,,,1790,700,100,-1500,,,,,2390,700,100,-1500,,,653,0,1,0,,,,,1090,0.63302749,1,,,,0,1,0,0,0.63302749,0,0,0,0.36697248,0,1,0,0,0,1,0,2,1,0,0.63302749,0,0.36697248,0,1100,700,-400,-1500,1100,-1500
1,Day 3,A11BSFO4LMHPXQ,wilmington13266,Low Debt,908,908,0,0,0,0,0,0,0,537,0,537,0,0,0,0,0,908,0,0,0,537,0,0,0,3298,700,100,-1500,3835,700,100,-1500,2,250,0.75,,,380,0.75,,,,,,,,,,,,,"One debt had pretty high interest, but after I paid it off it looked smarter to invest in the higher earning column.",Moderately important,Not at all important,Extremely important,Perhaps I should have put it all on the one with 20% interest.,42,Female,Indiana,White,College graduate with Bachelor's Degree (4 year),College or more,No,Yes,A little,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,100,-1500,1.1111112,0,,,,,3298,700,100,-1500,,,,,3835,700,100,-1500,,,756,0,1,0,,,,,908,1,1,,,,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1790,700,100,-1500,1790,-1500
1,Day 4,A11BSFO4LMHPXQ,wilmington13266,Low Debt,1197,1197,0,0,0,0,0,0,0,100,,100,0,0,0,0,0,1197,0,0,0,100,0,0,0,5032,700,100,-1500,5132,700,100,-1500,2,250,,,,,,1000,0,0,0,1000,0,0,0,1000,0,0,0,"One debt had pretty high interest, but after I paid it off it looked smarter to invest in the higher earning column.",Moderately important,Not at all important,Extremely important,Perhaps I should have put it all on the one with 20% interest.,42,Female,Indiana,White,College graduate with Bachelor's Degree (4 year),College or more,No,Yes,A little,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,-1500,1.1111112,0,,,,,5032,700,100,-1500,,,,,5132,700,100,-1500,,,708,0,1,0,,2,3,1,1197,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,3298,700,100,-1500,3298,-1500
3,Initial,A1222QAH015PT5,anaheim12704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,"I consider the interest, debt and account balance.",Very important,Very important,Extremely important,"I will follow the strategy of checking the account balance, interest, and possibly debt.",52,Male,North Carolina,White,College graduate with Bachelor's Degree (4 year),College or more,Prefer not to answer,Yes,A lot,0,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,12,14,,,,,,,,,,,,,,,,,,,,,0.02,1,877,,,,,,,,,,,,,,0,0,0,0,,,,,,,1,1,1,1,1,1,,1,1,,,,,,,,,,
3,Day 1,A1222QAH015PT5,anaheim12704,No Debt,500,200,50,200,50,0,0,0,0,600,0,200,100,200,100,0,0,200,50,200,50,200,100,200,100,1300,750,1100,1550,1500,850,1300,1650,1,300,1,,,499,1,,,,,,,,,,,,,"I consider the interest, debt and account balance.",Very important,Very important,Extremely important,"I will follow the strategy of checking the account balance, interest, and possibly debt.",52,Male,North Carolina,White,College graduate with Bachelor's Degree (4 year),College or more,Prefer not to answer,Yes,A lot,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,,,6,1,5,0,12,14,,,,,1300,750,1100,1550,,,,,1500,850,1300,1650,,,,,,,5529,1,0,0, No,,,,500,0.40000001,0.33333334,,,,0,0,0,0,0.40000001,0.1,0.40000001,0.1,0,0,1,1,1,1,0,0,4,1,1,0.40000001,0.1,0.40000001,0.1,1100,700,900,1500,1500,700
3,Day 2,A1222QAH015PT5,anaheim12704,No Debt,663,300,63,200,100,0,0,0,0,600,0,300,50,150,100,0,0,300,63,200,100,300,50,150,100,1800,913,1500,1750,2100,963,1650,1850,2,498,0.02,,,3,1,,,,,,,,,,,,,"I consider the interest, debt and account balance.",Very important,Very important,Extremely important,"I will follow the strategy of checking the account balance, interest, and possibly debt.",52,Male,North Carolina,White,College graduate with Bachelor's Degree (4 year),College or more,Prefer not to answer,Yes,A lot,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,,,4,1,3,0,12,14,,,,,1800,913,1500,1750,,,,,2100,963,1650,1850,,,,,,,1813,1,0,0,,,,,663,0.45248869,0.5,,,,0,0,0,0,0.45248869,0.095022626,0.30165914,0.15082957,0,0,1,1,1,1,0,0,4,1,1,0.45248869,0.095022626,0.30165914,0.15082957,1300,750,1100,1550,1550,750
3,Day 3,A1222QAH015PT5,anaheim12704,No Debt,856,300,100,156,300,0,0,0,0,100,0,30,20,20,30,0,0,300,100,156,300,30,20,20,30,2400,1063,1806,2150,2430,1083,1826,2180,1,498,0.99,,,499,0.98,,,,,,,,,,,,,"I consider the interest, debt and account balance.",Very important,Very important,Extremely important,"I will follow the strategy of checking the account balance, interest, and possibly debt.",52,Male,North Carolina,White,College graduate with Bachelor's Degree (4 year),College or more,Prefer not to answer,Yes,A lot,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,,,3,0,3,0,12,14,,,,,2400,1063,1806,2150,,,,,2430,1083,1826,2180,,,,,,,3974,1,0,0,,,,,856,0.35046729,0.30000001,,,,0,0,0,0,0.35046729,0.11682243,0.18224299,0.35046729,0,0,1,1,1,1,0,0,4,1,1,0.35046729,0.11682243,0.18224299,0.35046729,1800,913,1500,1750,1800,913
3,Day 4,A1222QAH015PT5,anaheim12704,No Debt,977,400,177,100,300,0,0,0,0,100,,40,10,10,40,0,0,400,177,100,300,40,10,10,40,2830,1260,1926,2480,2870,1270,1936,2520,1,498,,,,,,400,100,100,400,600,200,100,100,400,400,100,100,"I consider the interest, debt and account balance.",Very important,Very important,Extremely important,"I will follow the strategy of checking the account balance, interest, and possibly debt.",52,Male,North Carolina,White,College graduate with Bachelor's Degree (4 year),College or more,Prefer not to answer,Yes,A lot,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,12,14,,,,,2830,1260,1926,2480,,,,,2870,1270,1936,2520,,,,,,,1428,1,0,0,,1,2,3,977,0.40941659,0.40000001,0.40000001,0.60000002,0.40000001,0,0,0,0,0.40941659,0.18116684,0.10235415,0.30706245,0,0,1,1,1,1,0,0,4,1,1,0.40941659,0.18116684,0.10235415,0.30706245,2400,1063,1806,2150,2400,1063
