idturk,day,treatment,batch,durationinseconds,initialendowment,initialendowmentupdated,borrowsavings1,borrowsavings2,pointssaving1,pointssaving2,pointsdebt1,pointsdebt2,balance_a1,balance_a2,balance_a3,balance_a4,balance_a5,balance_a6,errorbdm1,errorbdm2,errorbdm3,errordebtintro1,errordebtintro2,errordebtintro3,errordebtintro4,errordebtintro5,errordebtendowment1,errordebtendowment2,errordebtendowment3,errordebtendowment4,errordebtendowment5,errordebtendowment6,errordebtendowment7,errordebtendowment8,errordebtpayment1,errordebtpayment2,errordebtpayment3,error_count,error_initial,error_main,error_main_total,error_count_total,instruction_confusion,demo_sex,demo_age,demo_state,demo_race,demo_educ,demo_collegeplus,demo_studentloan,demo_holddebt,demo_covid,end_reasoning,end_debtimportance,end_balancesimportance,end_rateimportance,end_hindsight,orderlottery,lotterychoice,timechoice,perco_orig,ind_optimal_ia,ind_optimal_ia_all,debtsaving1balanceupdated2,debtsaving2balanceupdated2,debtsaving3balance,debtsaving4balance,debtdebt1balanceupdated,debtdebt2balanceupdated,controlsaving1balanceupdated2,controlsaving2balanceupdated2,controlsaving3balanceupdated,controlsaving4balanceupdated,controlsaving5balance,controlsaving6balance,pointssaving3,pointssaving4,i
A1160COTUR26JZ,0,No Debt,2,316,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,1,1,"No, i did not.",Female,50,Texas,White,College graduate with Associate's Degree (2 year),College or more,Yes,Yes,A little,I decided to put all my endowment into the account that would yield the highest interest to give me more of a return.,Not at all important,Extremely important,Extremely important,Putting my money into the account with the highest interest rate.,2,0.75,1,,0,1,,,,,,,,,,,,,,,1
A1160COTUR26JZ,1,No Debt,2,801,500,500,,,500,0,,,2500,400,600,4300,900,1500,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,"No, i did not.",Female,50,Texas,White,College graduate with Associate's Degree (2 year),College or more,Yes,Yes,A little,I decided to put all my endowment into the account that would yield the highest interest to give me more of a return.,Not at all important,Extremely important,Extremely important,Putting my money into the account with the highest interest rate.,,0.75,1,1,1,1,,,,,,,2500,400,600,4300,900,1500,0,0,1
A1160COTUR26JZ,2,No Debt,2,815,600,600,,,600,0,,,3100,400,600,4300,900,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"No, i did not.",Female,50,Texas,White,College graduate with Associate's Degree (2 year),College or more,Yes,Yes,A little,I decided to put all my endowment into the account that would yield the highest interest to give me more of a return.,Not at all important,Extremely important,Extremely important,Putting my money into the account with the highest interest rate.,,0.75,1,1,1,1,,,,,,,3100,400,600,4300,900,1500,0,0,1
A1160COTUR26JZ,3,No Debt,2,616,720,720,,,720,0,,,3820,400,600,4300,900,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"No, i did not.",Female,50,Texas,White,College graduate with Associate's Degree (2 year),College or more,Yes,Yes,A little,I decided to put all my endowment into the account that would yield the highest interest to give me more of a return.,Not at all important,Extremely important,Extremely important,Putting my money into the account with the highest interest rate.,,0.75,1,1,1,1,,,,,,,3820,400,600,4300,900,1500,0,0,1
A1160COTUR26JZ,4,No Debt,2,499,864,864,,,864,0,,,4684,400,600,4300,900,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"No, i did not.",Female,50,Texas,White,College graduate with Associate's Degree (2 year),College or more,Yes,Yes,A little,I decided to put all my endowment into the account that would yield the highest interest to give me more of a return.,Not at all important,Extremely important,Extremely important,Putting my money into the account with the highest interest rate.,,0.75,1,1,1,1,,,,,,,4684,400,600,4300,900,1500,0,0,1
A11S8IAAVDXCUS,0,No Debt,2,302,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,8,8,"No, not at all",Female,30,Mississippi,White,College graduate with Associate's Degree (2 year),College or more,No,Yes,None,I tried to put the most amount in the account with the highest percentage of return,Not at all important,Very important,Very important,I would put it all in the two highest savings accounts,2,0.6,1,,0,0,,,,,,,,,,,,,,,2
A11S8IAAVDXCUS,1,No Debt,2,514,500,500,,,150,100,,,2150,500,750,4400,900,1500,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,3,0,3,8,8,"No, not at all",Female,30,Mississippi,White,College graduate with Associate's Degree (2 year),College or more,No,Yes,None,I tried to put the most amount in the account with the highest percentage of return,Not at all important,Very important,Very important,I would put it all in the two highest savings accounts,,0.6,1,0.30000001,0,0,,,,,,,2150,500,750,4400,900,1500,150,100,2
A11S8IAAVDXCUS,2,No Debt,2,428,568,568,,,284,0,,,2434,500,1034,4400,900,1500,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,2,8,8,"No, not at all",Female,30,Mississippi,White,College graduate with Associate's Degree (2 year),College or more,No,Yes,None,I tried to put the most amount in the account with the highest percentage of return,Not at all important,Very important,Very important,I would put it all in the two highest savings accounts,,0.6,1,0.5,0,0,,,,,,,2434,500,1034,4400,900,1500,284,0,2
A11S8IAAVDXCUS,3,No Debt,2,465,667,667,,,367,50,,,2801,550,1234,4450,900,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,8,8,"No, not at all",Female,30,Mississippi,White,College graduate with Associate's Degree (2 year),College or more,No,Yes,None,I tried to put the most amount in the account with the highest percentage of return,Not at all important,Very important,Very important,I would put it all in the two highest savings accounts,,0.6,1,0.5502249,0,0,,,,,,,2801,550,1234,4450,900,1500,200,50,2
A11S8IAAVDXCUS,4,No Debt,2,441,778,1328,,,1000,50,,,3801,50,1434,4528,900,1500,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,2,8,8,"No, not at all",Female,30,Mississippi,White,College graduate with Associate's Degree (2 year),College or more,No,Yes,None,I tried to put the most amount in the account with the highest percentage of return,Not at all important,Very important,Very important,I would put it all in the two highest savings accounts,,0.6,1,0.75301206,0,0,,,,,,,3801,50,1434,4528,900,1500,200,78,2
A13I8ASC3JQ04P,0,No Debt,4,371,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,1,1,No,Male,34,Kentucky,White,College graduate with Associate's Degree (2 year),College or more,Yes,Yes,A little,I played it safe the first few times but decided to put Savings 2's points into Savings 1 for a slightly higher yield on them.,Not at all important,Extremely important,Extremely important,I'd possibly transfer Savings 2 to Savings 1 earlier.,1,0.8,0.9,,0,1,,,,,,,,,,,,,,,3
A13I8ASC3JQ04P,1,No Debt,4,759,500,500,,,500,0,,,2500,400,600,4300,900,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,No,Male,34,Kentucky,White,College graduate with Associate's Degree (2 year),College or more,Yes,Yes,A little,I played it safe the first few times but decided to put Savings 2's points into Savings 1 for a slightly higher yield on them.,Not at all important,Extremely important,Extremely important,I'd possibly transfer Savings 2 to Savings 1 earlier.,,0.8,0.9,1,1,1,,,,,,,2500,400,600,4300,900,1500,0,0,3
A13I8ASC3JQ04P,2,No Debt,4,485,600,600,,,600,0,,,3100,400,600,4300,900,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,No,Male,34,Kentucky,White,College graduate with Associate's Degree (2 year),College or more,Yes,Yes,A little,I played it safe the first few times but decided to put Savings 2's points into Savings 1 for a slightly higher yield on them.,Not at all important,Extremely important,Extremely important,I'd possibly transfer Savings 2 to Savings 1 earlier.,,0.8,0.9,1,1,1,,,,,,,3100,400,600,4300,900,1500,0,0,3
A13I8ASC3JQ04P,3,No Debt,4,503,720,720,,,720,0,,,3820,400,600,4300,900,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,No,Male,34,Kentucky,White,College graduate with Associate's Degree (2 year),College or more,Yes,Yes,A little,I played it safe the first few times but decided to put Savings 2's points into Savings 1 for a slightly higher yield on them.,Not at all important,Extremely important,Extremely important,I'd possibly transfer Savings 2 to Savings 1 earlier.,,0.8,0.9,1,1,1,,,,,,,3820,400,600,4300,900,1500,0,0,3
A13I8ASC3JQ04P,4,No Debt,4,603,864,1264,,,1264,0,,,5084,0,600,4300,900,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,No,Male,34,Kentucky,White,College graduate with Associate's Degree (2 year),College or more,Yes,Yes,A little,I played it safe the first few times but decided to put Savings 2's points into Savings 1 for a slightly higher yield on them.,Not at all important,Extremely important,Extremely important,I'd possibly transfer Savings 2 to Savings 1 earlier.,,0.8,0.9,1,1,1,,,,,,,5084,0,600,4300,900,1500,0,0,3
A14EYTLSMJRPUK,0,No Debt,2,385,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,1,1,no,Male,34,Alaska,White,College graduate with Associate's Degree (2 year),College or more,Yes,Yes,None,"Well, it obviously made the most sense to put the most money into the account that generated the most interest. I would have allocated all of my points into that account if I could have.",Not at all important,Not at all important,Extremely important,I wouldn't change anything.,2,0.5,1,,0,1,,,,,,,,,,,,,,,4
A14EYTLSMJRPUK,1,No Debt,2,501,500,900,,,900,0,,,2900,0,600,4300,900,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,no,Male,34,Alaska,White,College graduate with Associate's Degree (2 year),College or more,Yes,Yes,None,"Well, it obviously made the most sense to put the most money into the account that generated the most interest. I would have allocated all of my points into that account if I could have.",Not at all important,Not at all important,Extremely important,I wouldn't change anything.,,0.5,1,1,1,1,,,,,,,2900,0,600,4300,900,1500,0,0,4
A14EYTLSMJRPUK,2,No Debt,2,412,640,640,,,640,0,,,3540,0,600,4300,900,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,no,Male,34,Alaska,White,College graduate with Associate's Degree (2 year),College or more,Yes,Yes,None,"Well, it obviously made the most sense to put the most money into the account that generated the most interest. I would have allocated all of my points into that account if I could have.",Not at all important,Not at all important,Extremely important,I wouldn't change anything.,,0.5,1,1,1,1,,,,,,,3540,0,600,4300,900,1500,0,0,4
